eventID,occurrenceID,basisOfRecord,eventDate,kingdom,Order,scientificName,Commonname,taxonRank,individualCount,organismQuantity,organismQuantityType,occurrenceStatus,Latitude,Longitude,geodeticDatum,countryCode,,,,,,,,,,,,,,,,,,
S3TIT_E,S3TIT_E1,Human_observation,09/09/2025,Animalia ,Lepidoptera ,Denticucullus_pygmina,Small_wainscot,Species ,2,2,Individual,Present ,N55 41.922,W005 17.005,WGS84,GB,,,,,,,,,,,,,,,,,,
S3TIT_E,S3TIT_E2,Human_observation,09/09/2025,Animalia ,Diptera,Tipula_paludosa,European_crane_fly,Species ,2,2,Individual,Present ,N55 41.922,W005 17.005,WGS84,GB,,,,,,,,,,,,,,,,,,
S3TIT_E,S3TIT_E3,Human_observation,09/09/2025,Animalia ,Lepidoptera ,Xestia_castanea,Neglected_rustic,Species ,1,1,Individual,Present ,N55 41.922,W005 17.005,WGS84,GB,,,,,,,,,,,,,,,,,,
S3TIT_E,S3TIT_E4,Human_observation,09/09/2025,Animalia ,Trichoptera ,Limnephilus_lunatus,Caddis_fly,Species ,2,2,Individual,Present ,N55 41.922,W005 17.005,WGS84,GB,,,,,,,,,,,,,,,,,,
S3TIT_E,S3TIT_E5,Human_observation,09/09/2025,Animalia ,Lepidoptera ,Dysstroma_truncata,Common_marbled_carpet,Species ,1,1,Individual,Present ,N55 41.922,W005 17.005,WGS84,GB,,,,,,,,,,,,,,,,,,
S3TIT_E,S3TIT_E6,Human_observation,09/09/2025,Animalia ,Ixodida,Ixodes_ricinus,Sheep_tick ,Species ,1,1,Individual,Present ,N55 41.922,W005 17.005,WGS84,GB,,,,,,,,,,,,,,,,,,
S3TIT_E,S3TIT_E7,Human_observation,09/09/2025,Animalia ,Julida,Tachypodoiulus_niger,White_legged_snake_millipede,Species ,1,1,Individual,Present ,N55 41.922,W005 17.005,WGS84,GB,,,,,,,,,,,,,,,,,,
S3TIT_A,S3TIT_A1,Human_observation,10/09/2025,Animalia ,Lepidoptera ,Xestia_xanthographa ,Square_spot_rustic ,Species ,12,12,Individual,Present ,N55 42.027,W005 17.134,WGS84,GB,,,,,,,,,,,,,,,,,,
S3TIT_A,S3TIT_A2,Human_observation,10/09/2025,Animalia ,Lepidoptera ,Colostygia_pectinataria,Green_carpet_moth,Species ,3,3,Individual,Present ,N55 42.027,W005 17.134,WGS84,GB,,,,,,,,,,,,,,,,,,
S3TIT_A,S3TIT_A3,Human_observation,10/09/2025,Animalia ,Lepidoptera ,Xestia_agathina ,Heath_rustic ,Species ,1,1,Individual,Present ,N55 42.027,W005 17.134,WGS84,GB,,,,,,,,,,,,,,,,,,
S3TIT_A,S3TIT_A4,Human_observation,10/09/2025,Animalia ,Lepidoptera ,Conistra_vaccinii,Chestnut_moth,Species ,1,1,Individual,Present ,N55 42.027,W005 17.134,WGS84,GB,,,,,,,,,,,,,,,,,,
S3TIT_A,S3TIT_A5,Human_observation,10/09/2025,Animalia ,Lepidoptera ,Xanthia_togata,Pink_barred_sallow_moth,Species ,1,1,Individual,Present ,N55 42.027,W005 17.134,WGS84,GB,,,,,,,,,,,,,,,,,,
S3TIT_A,S3TIT_A6,Human_observation,10/09/2025,Animalia ,Lepidoptera ,Denticucullus_pygmina,Small_wainscot,Species ,1,1,Individual,Present ,N55 42.027,W005 17.134,WGS84,GB,,,,,,,,,,,,,,,,,,
S3TIT_A,S3TIT_A7,Human_observation,10/09/2025,Animalia ,Lepidoptera ,Clubiona_Latreille,Leaf_curling_sac_spiders,Species ,1,1,Individual,Present ,N55 42.027,W005 17.134,WGS84,GB,,,,,,,,,,,,,,,,,,
S3TIT_A,S3TIT_A8,Human_observation,10/09/2025,Animalia ,Lepidoptera ,Dysstroma_truncata,Common_marbled_carpet,Species ,1,1,Individual,Present ,N55 42.027,W005 17.134,WGS84,GB,,,,,,,,,,,,,,,,,,
S3TIT_A,S3TIT_A9,Human_observation,10/09/2025,Animalia ,Diptera,Sciaridae,Dark_winged_fungus_gnats ,Family,1,1,Individual,Present ,N55 42.027,W005 17.134,WGS84,GB,,,,,,,,,,,,,,,,,,
S3TIT_A,S3TIT_A10,Human_observation,10/09/2025,Animalia ,Trichoptera ,Limnephilus_lunatus,Cinnamon_sedge_caddisfly,Species ,1,1,Individual,Present ,N55 42.027,W005 17.134,WGS84,GB,,,,,,,,,,,,,,,,,,
S3TIT_A,S3TIT_A11,Human_observation,10/09/2025,Animalia ,Diptera,Tipula_rufina,Crane_fly ,Species ,2,2,Individual,Present ,N55 42.027,W005 17.134,WGS84,GB,,,,,,,,,,,,,,,,,,
S3TIT_A,S3TIT_A12,Human_observation,10/09/2025,Animalia ,Diptera,Tipula_paludosa/oleracea,Crane_fly,Order,10,10,Individual,Present ,N55 42.027,W005 17.134,WGS84,GB,,,,,,,,,,,,,,,,,,
S3TIT_A,S3TIT_A13,Human_observation,10/09/2025,Animalia ,Diptera,Tipula_paludosa ,European_crane_fly,Species ,1,1,Individual,Present ,N55 42.027,W005 17.134,WGS84,GB,,,,,,,,,,,,,,,,,,
S3TIT_A,S3TIT_A14,Human_observation,10/09/2025,Animalia ,Diptera,Tipula_oleracea ,Marsh_crane_fly ,Species ,1,1,Individual,Present ,N55 42.027,W005 17.134,WGS84,GB,,,,,,,,,,,,,,,,,,
S3TIT_J,S3TIT_J1,Human_observation,11/09/2025,Animalia ,Trichoptera ,Trichoptera,Caddis_fly,Order,1,1,Individual,Present ,N55 41.828,W005 16.810,WGS84,GB,,,,,,,,,,,,,,,,,,
S3TIT_J,S3TIT_J2,Human_observation,11/09/2025,Animalia ,Hymenoptera,Cardrina_morpheus,Mottled_rustic,Species,1,1,Individual,Present ,N55 41.828,W005 16.810,WGS84,GB,,,,,,,,,,,,,,,,,,
S3TIT_J,S3TIT_J3,Human_observation,11/09/2025,Animalia ,Diptera,Culicidae,Mosquito,Family,4,4,Individual,Present ,N55 41.828,W005 16.810,WGS84,GB,,,,,,,,,,,,,,,,,,
S3TIT_J,S3TIT_J4,Human_observation,11/09/2025,Animalia ,Diptera,Tipuloidea,Crane_fly ,Super_family,1,1,Individual,Present ,N55 41.828,W005 16.810,WGS84,GB,,,,,,,,,,,,,,,,,,
