"Taxon","Level","BMWPscore","Notes","Count","Site"
"Plecoptera","Order","8-10","Stonefly larvae, mostly high scoring","7","North"
"Ephemeroptera","Order","4-10","Mayfly larvae vary widely","6","North"
"coleoptera","Order","2-10","Large variation between families both larvae and adult found","5","North"
"Oligochaeta","Order","1-4","Worms: low pollution-tolerant taxa","7","North"
"Odonata","Family","8"," anisoptera: Dragonfly larvae","2","North"
"Trichoptera","Order","5-10","Vary a lot","5","North"
"Trichoptera","Family","6"," Hydroptillidae: Caddisfly larvae","1","North"
"Trichoptera","Family","7"," Philopotamidae: Caddisfly family larvae","1","North"
"Oligochaeta","Family","1-4","Worms: low pollution-tolerant taxa","1","South"
"Diptera","Order","1-5","Flies generally low scoring unless family identified","1","South"
"Coleoptera","Family","5","Dytiscidae: diving beetle","1","South"
"Hemiptera","Family","5","Boatman","4","South"
"Odonata","Family","8","Damselfly larvae","2","South"
"Odonata","Family","8","Dragonfly larvae","3","South"
"Hemiptera","Family","5","Boatman","2","South"
"Plecoptera","Order","8-10","Stoneflies: mostly high scoring","9","South"
"Coleoptera","Order","2-10","Large variation between families larvae and adult found","2","South"
"Trichoptera","Order","5-10","Caddisflies vary a lot","2","South"
"Ephemeroptera","Order","4-10","Mayflies vary widely","4","South"
"Diptera","Family","5","Blackfly larvae","1","South"
